Gene_ID	Status	Uniprot_ID_Insecta	Percent_Identical	E_score	GO_Tag	GO_Category	GO_Name	Species	Manduca_Protein_Name	Manduca_Protein_ID	Insecta_Protein_Name
LOC101741552	Pass:	A0A6J2JAU2	97.872	0	GO:0003677	F	DNA binding	Bombyx mandarina	Protein gooseberry-neuro isoform X2	NA	NA
SC1	Pass:	A0A6J2JVB0	96.093	0	GO:0006814	P	sodium ion transport	Bombyx mandarina	Sodium channel protein	NA	NA
LOC101736052	Pass:	A0A8R2M1K7	100	0	GO:0030261	P	chromosome condensation	Bombyx mori	Nuclear condensin complex subunit 3 C-terminal domain-containing protein	NA	NA
LOC101739885	Pass:	A0A8R1WMB9	100	0	GO:0016020	C	membrane	Bombyx mori	Uncharacterized protein	NA	NA
LOC101735614	Pass:	A0A8R2QWJ2	99.098	0	GO:0007411	P	axon guidance	Bombyx mori	Down syndrome cell adhesion molecule-like protein Dscam2	NA	NA
EcR	Pass:	A0A8S1BAK1	82.353	0	GO:0003677	F	DNA binding	Arctia plantaginis	Ecdysone receptor	NA	NA
LOC101744352	Pass:	A0A6J2JCP2	100	0	GO:0000228	C	nuclear chromosome	Bombyx mandarina	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-A isoform X1	NA	NA
LOC101737716	Pass:	A0A7E5W1G8	88.441	0	GO:0005634	C	nucleus	Trichoplusia ni	POU domain, class 6, transcription factor 2 isoform X3	NA	NA
LOC101741393	Pass:	A0A8R2M3P3	100	0	GO:0071944	C	cell periphery	Bombyx mori	Plekhh1	NA	NA
LOC101742535	Pass:	A0A8S3XR65	74.321	0	GO:0009311	P	oligosaccharide metabolic process	Parnassius apollo	Mannosyl-oligosaccharide glucosidase	NA	NA
rdl1	Pass:	A0A8R2DNJ0	100	0	GO:0004890	F	GABA-A receptor activity	Bombyx mori	Uncharacterized protein	NA	NA
LOC101738122	Pass:	A0A8S1AGB4	79.958	0	GO:0031047	P	RNA-mediated gene silencing	Arctia plantaginis	CCR4-NOT transcription complex subunit 11	NA	NA
slc35b3	Pass:	A0A2A4JWN3	79.156	0	GO:0016020	C	membrane	Heliothis virescens	Sugar phosphate transporter domain-containing protein	NA	NA
LOC101739070	Pass:	A0A8R2G7U5	99.864	0	GO:0006811	P	monoatomic ion transport	Bombyx mori	Ryanodine receptor	NA	NA
LOC101741500	Pass:	A0A8R2M6I1	100	0	GO:0051179	P	localization	Bombyx mori	TBC1 domain family member 4	NA	NA
LOC101742842	Pass:	A0A6J1WRX5	57.853	0	GO:0046936	F	2'-deoxyadenosine deaminase activity	Galleria mellonella	adenosine deaminase	NA	NA
LOC732953	Pass:	A0A6J1X7W7	74.465	0	GO:0005886	C	plasma membrane	Galleria mellonella	Peptidase M1 leukotriene A4 hydrolase/aminopeptidase C-terminal domain-containing protein	NA	NA
LOC692894	Fail:	A0A8R2QU45	27.154	0	GO:0005509	F	calcium ion binding	Bombyx mori	Dumpy	NA	NA
LOC101736730	Pass:	L0N6I8	100	0	GO:0005506	F	iron ion binding	Bombyx mori	Cytochrome P450	NA	NA
LOC101743498	Pass:	A0A1P8PEW4	84.35	0	GO:0006457	P	protein folding	Antheraea pernyi	Heat shock protein 83	NA	NA
LOC101743265	Fail:	A0A2H1V4Z9	49.51	1.6699999999999997e-153	GO:0015031	P	protein transport	Spodoptera frugiperda	RanBD1 domain-containing protein	NA	NA
LOC101737151	Pass:	A0A2W1BGB3	83.434	0	GO:0005886	C	plasma membrane	Helicoverpa armigera	G-protein coupled receptors family 3 profile domain-containing protein	NA	NA
LOC101746756	Pass:	A0A7E5VYF8	79.502	0	GO:0016567	P	protein ubiquitination	Trichoplusia ni	E3 ubiquitin-protein ligase	NA	NA
LOC101744189	Fail:	A0A6J1WTI2	53.401	9.479999999999999e-153	GO:0016020	C	membrane	Galleria mellonella	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101746973	Pass:	A0A7E5WS75	81.971	0	GO:0016020	C	membrane	Trichoplusia ni	Phospholipid transfer protein C2CD2L	NA	NA
LOC101747031	Pass:	A0A0L7L7V6	80.995	0	GO:0005794	C	Golgi apparatus	Operophtera brumata	Vacuolar protein sorting-associated protein 54	NA	NA
Ef-1g	Pass:	A0A7E5VSE4	84.161	0	GO:0003746	F	translation elongation factor activity	Trichoplusia ni	Elongation factor 1-gamma	NA	NA
LOC101743270	Pass:	A0A7E5VGC5	66.079	0	GO:0016773	F	phosphotransferase activity, alcohol group as acceptor	Trichoplusia ni	Carbohydrate kinase PfkB domain-containing protein	NA	NA
LOC119628844	Fail:	A0A8J9VVD2	85.774	2.94e-147	GO:0006508	P	proteolysis	Brenthis ino	Retropepsins domain-containing protein	NA	NA
AP1S	Fail:	A0A6J1WPY1	100	6.66e-102	GO:0030121	C	AP-1 adaptor complex	Galleria mellonella	AP complex subunit sigma	NA	NA
P450	Pass:	A0A2A4K586	68.443	0	GO:0004497	F	monooxygenase activity	Heliothis virescens	Cytochrome P450	NA	NA
LOC101740658	Pass:	A0A8B8HLN3	87.58	0	GO:0016740	F	transferase activity	Vanessa tameamea	Elongation of very long chain fatty acids protein	NA	NA
Nav	Pass:	A0A8R2R1C5	99.807	0	GO:0035725	P	sodium ion transmembrane transport	Bombyx mori	Sodium channel protein	NA	NA
LOC119630712	Pass:	A0A8R2R2G2	96.825	0	GO:0071897	P	DNA biosynthetic process	Bombyx mori	RNA-directed DNA polymerase	NA	NA
LOC101740700	Pass:	A0A212FC47	90.182	0	GO:0004812	F	aminoacyl-tRNA ligase activity	Danaus plexippus plexippus	threonine--tRNA ligase	NA	NA
LOC101736146	Pass:	A0A8R2C746	100	0	GO:0022857	F	transmembrane transporter activity	Bombyx mori	Choline transporter-like protein	NA	NA
LOC119631133	Pass:	B6VFI6	88.591	0	GO:0022900	P	electron transport chain	Bombyx mandarina	Cytochrome c oxidase subunit 1	NA	NA
LOC100500925	Pass:	A0A8R2R770	98.381	0	GO:0004890	F	GABA-A receptor activity	Bombyx mori	Gamma-aminobutyric acid receptor subunit beta-like	NA	NA
LOC100188972	Pass:	A0A8R2QX97	100	0	GO:0003779	F	actin binding	Bombyx mori	Myosin heavy chain, muscle	NA	NA
LOC101742905	Pass:	A0A8R2APN2	100	0	GO:0016740	F	transferase activity	Bombyx mori	Protein arginine N-methyltransferase	NA	NA
LOC101736212	Pass:	A0A6J2JHY8	100	0	GO:0003677	F	DNA binding	Bombyx mandarina	Homeobox domain-containing protein	NA	NA
LOC101742157	Pass:	A0A6J2KF19	99.492	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	Kinesin-like protein unc-104	NA	NA
LOC101738315	Pass:	A0A8R2R8A5	100	0	GO:0035434	P	copper ion transmembrane transport	Bombyx mori	P-type Cu(+) transporter	NA	NA
LOC101746269	Pass:	A0A6J1NM72	82.995	0	GO:0016310	P	phosphorylation	Bicyclus anynana	NAD(+) kinase	NA	NA
LOC101745942	Pass:	A0A6J2JTI7	99.601	0	GO:0042995	C	cell projection	Bombyx mandarina	Focal adhesion kinase 1 isoform X3	NA	NA
LOC101738577	Pass:	A0A8R2QZ00	100	0	GO:0005634	C	nucleus	Bombyx mori	Matrin-type domain-containing protein	NA	NA
LOC101745857	Pass:	A0A8B8HKH3	93.542	0	GO:0005634	C	nucleus	Vanessa tameamea	poly(A)-specific ribonuclease	NA	NA
LOC105841414	Fail:	A0A7E5VNL6	58.28	8.539999999999999e-134	GO:0006633	P	fatty acid biosynthetic process	Trichoplusia ni	Elongation of very long chain fatty acids protein	NA	NA
LOC101745944	Pass:	A0A194QDG7	83.709	0	GO:0006351	P	DNA-templated transcription	Papilio xuthus	BSD domain-containing protein	NA	NA
Nav	Pass:	A0A8R2M538	99.185	0	GO:0016020	C	membrane	Bombyx mori	Sodium channel protein	NA	NA
LOC101739592	Pass:	A0A6J2KM70	97.545	0	GO:0046872	F	metal ion binding	Bombyx mandarina	NAD(+) kinase	NA	NA
CPR146	Pass:	A0A836FLT4	52.39	0	GO:0048856	P	anatomical structure development	Acromyrmex charruanus	Collagen alpha-2(IV) chain	NA	NA
NGR-A5	Pass:	A0A6J2JMD8	99.625	0	GO:0005886	C	plasma membrane	Bombyx mandarina	G-protein coupled receptors family 1 profile domain-containing protein	NA	NA
LOC101746933	Pass:	A0A8R2QV37	100	0	GO:0006355	P	regulation of DNA-templated transcription	Bombyx mori	Homeobox domain-containing protein	NA	NA
LOC101742404	Fail:	A0A2A4K2R8	98.592	4.699999999999999e-160	GO:0005525	F	GTP binding	Heliothis virescens	Ras-related protein Rab-14	NA	NA
LOC692747	Pass:	A0A5E4PTP9	98.02	0	GO:0003677	F	DNA binding	Leptidea sinapis	Homeobox domain-containing protein	NA	NA
LOC101741172	Pass:	A0A6J2JXF1	98.52	0	GO:0006529	P	asparagine biosynthetic process	Bombyx mandarina	Asparagine synthetase domain-containing protein	NA	NA
LOC101746979	Pass:	A0A8R2DJK1	100	0	GO:0016020	C	membrane	Bombyx mori	Peptidase M28 domain-containing protein	NA	NA
LOC101739453	Fail:	A0A8R2LZJ9	99.479	7.94e-134	GO:0016020	C	membrane	Bombyx mori	Reticulon-like protein	NA	NA
LOC101744488	Pass:	A0A8R2R686	100	0	GO:0042781	F	3'-tRNA processing endoribonuclease activity	Bombyx mori	ribonuclease Z	NA	NA
LOC101736588	Pass:	A0A2H1VX79	86.747	0	GO:0042254	P	ribosome biogenesis	Spodoptera frugiperda	Ribosome biogenesis protein WDR12 homolog	NA	NA
LOC101745976	Pass:	A0A8R2QWP4	99.94	0	GO:0070603	C	SWI/SNF superfamily-type complex	Bombyx mori	ARID domain-containing protein	NA	NA
LOC119631013	Fail:	A0A194QES2	89.091	4.13e-105	GO:0051087	F	protein-folding chaperone binding	Papilio xuthus	BAG family molecular chaperone regulator 2	NA	NA
LOC101745605	Pass:	A0A6J2JAY9	99.174	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	Protein kinase domain-containing protein	NA	NA
LOC119629781	Fail:	A0A8B8HU49	46.455	4.34e-136	GO:0016020	C	membrane	Vanessa tameamea	Fucosyltransferase	NA	NA
LOC101737883	Pass:	A0A8R2DNF6	100	0	GO:0005581	C	collagen trimer	Bombyx mori	Laminin G domain-containing protein	NA	NA
LOC101738029	Pass:	A0A8R2QYI3	99.084	0	GO:0006355	P	regulation of DNA-templated transcription	Bombyx mori	AT-rich interactive domain-containing protein 2	NA	NA
LOC101745776	Fail:	A0A8B8ILG4	67.869	9.239999999999999e-158	GO:0070006	F	metalloaminopeptidase activity	Vanessa tameamea	Methionine aminopeptidase	NA	NA
LOC101743374	Pass:	A0A8R2AKD3	100	0	GO:0016740	F	transferase activity	Bombyx mori	Histone acetyltransferase type B catalytic subunit	NA	NA
LOC101745514	Pass:	A0A8S3X264	68.605	0	GO:0016020	C	membrane	Parnassius apollo	Frizzled-10	NA	NA
LOC100126867	Fail:	A0A7E5VH98	41.772	0	GO:0000166	F	nucleotide binding	Trichoplusia ni	Helicase ATP-binding domain-containing protein	NA	NA
LOC101746911	Pass:	A0A212FMD9	51.335	0	GO:0006508	P	proteolysis	Danaus plexippus plexippus	Metalloendopeptidase	NA	NA
LOC101736179	Pass:	A0A6J2JRP8	99.824	0	GO:0046872	F	metal ion binding	Bombyx mandarina	E3 ubiquitin-protein ligase TRIM9 isoform X1	NA	NA
LOC101743724	Pass:	A0A8R2HPB7	100	0	GO:0005634	C	nucleus	Bombyx mori	RRM domain-containing protein	NA	NA
LOC101746680	Pass:	A0A6J2JYX5	99.706	0	GO:0006811	P	monoatomic ion transport	Bombyx mandarina	Sodium/hydrogen exchanger	NA	NA
nAChRa8	Pass:	A0A8R2R619	99.419	0	GO:0045211	C	postsynaptic membrane	Bombyx mori	Uncharacterized protein	NA	NA
BGRP4	Pass:	A0A8B8HRB5	83.467	0	GO:0004553	F	hydrolase activity, hydrolyzing O-glycosyl compounds	Vanessa tameamea	GH16 domain-containing protein	NA	NA
LOC101738156	Pass:	A0A6J2JSU7	99.718	0	GO:0008270	F	zinc ion binding	Bombyx mandarina	Zinc finger protein 271-like isoform X2	NA	NA
LOC101737716	Pass:	A0A8R2LWJ6	99.831	0	GO:0005634	C	nucleus	Bombyx mori	POU domain, class 6, transcription factor 2	NA	NA
LOC119630569	Pass:	A0A8R2M7L3	100	0	GO:0090502	P	RNA phosphodiester bond hydrolysis, endonucleolytic	Bombyx mori	RNase H type-1 domain-containing protein	NA	NA
LOC101735331	Fail:	A0A6J1WFH5	44.118	1.5699999999999996e-144	GO:0005634	C	nucleus	Galleria mellonella	Zinc finger protein 883-like	NA	NA
LOC693064	Pass:	A0A6J2K629	99.835	0	GO:0005634	C	nucleus	Bombyx mandarina	Probable nuclear hormone receptor HR38 isoform X2	NA	NA
LOC101744319	Pass:	A0A6J2KPU6	98.511	0	GO:0005524	F	ATP binding	Bombyx mandarina	Calcium-transporting ATPase	NA	NA
LOC101740368	Pass:	A0A7S4YSL2	69.483	0	GO:0110165	C	cellular anatomical entity	Trichoplusia ni	ABC transporter domain-containing protein	NA	NA
LOC101740626	Pass:	A0A8R2QYD9	99.843	0	GO:0016020	C	membrane	Bombyx mori	Cyclic nucleotide-binding domain-containing protein	NA	NA
Cyp6au1	Pass:	A5JM35	100	0	GO:0004497	F	monooxygenase activity	Bombyx mori	Cytochrome P450 Cyp6AU1	NA	NA
LOC101745515	Pass:	A0A8R2M7X3	100	0	GO:0016020	C	membrane	Bombyx mori	BTB domain-containing protein	NA	NA
LOC101740668	Pass:	A0A6J1P621	92.157	0	GO:0005856	C	cytoskeleton	Bicyclus anynana	Spastin	NA	NA
LOC101740372	Pass:	A0A8R2DLD8	98.477	0	GO:0006357	P	regulation of transcription by RNA polymerase II	Bombyx mori	Visual system homeobox 2	NA	NA
LOC101743222	Pass:	A0A212ER96	69.196	0	GO:0007155	P	cell adhesion	Danaus plexippus plexippus	Fat cadherin-related tumor suppressor protein	NA	NA
LOC101735554	Pass:	A0A2A4J9N1	55.629	0	GO:0016020	C	membrane	Heliothis virescens	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101737874	Pass:	A0A8R2GCY8	100	0	GO:0016020	C	membrane	Bombyx mori	Ubiquitin-like domain-containing protein	NA	NA
LOC101747051	Pass:	A0A7E5W344	76.998	0	GO:0007155	P	cell adhesion	Trichoplusia ni	Integrin alpha-2 domain-containing protein	NA	NA
LOC101741252	Pass:	A0A2H1VAA5	98.718	0	GO:0005634	C	nucleus	Spodoptera frugiperda	TEA domain-containing protein	NA	NA
LOC101739070	Pass:	A0A8R2M7L1	99.284	0	GO:0033017	C	sarcoplasmic reticulum membrane	Bombyx mori	Ryanodine receptor	NA	NA
LOC101743906	Pass:	A0A8R2R8J4	100	0	GO:0005634	C	nucleus	Bombyx mori	MADF domain-containing protein	NA	NA
LOC101737606	Pass:	A0A8R2QUU7	99.916	0	GO:0016829	F	lyase activity	Bombyx mori	adenylate cyclase	NA	NA
LOC101743243	Pass:	A0A3S2M0H4	87.774	0	GO:0004610	F	phosphoacetylglucosamine mutase activity	Chilo suppressalis	Phosphoacetylglucosamine mutase	NA	NA
LOC101746553	Pass:	A0A8R2GDC7	100	0	GO:0005739	C	mitochondrion	Bombyx mori	Trafficking kinesin-binding protein milt	NA	NA
LOC110386171	Fail:	A0A7E5V978	76.847	8.23e-102	GO:0005634	C	nucleus	Trichoplusia ni	Protein MIS12 homolog	NA	NA
LOC101740682	Pass:	A0A8R2DLY5	100	0	GO:0016020	C	membrane	Bombyx mori	Tetraspanin	NA	NA
RpS6	Fail:	A0A3G1T1D9	98.024	2.7099999999999994e-180	GO:0003735	F	structural constituent of ribosome	Galleria mellonella	40S ribosomal protein S6	NA	NA
LOC101737466	Fail:	A0A6I8U1A9	40.805	2.54e-105	GO:0005576	C	extracellular region	Aedes aegypti	Chitin-binding type-2 domain-containing protein	NA	NA
CPR13	Pass:	C0H6K4	100	0	GO:0005198	F	structural molecule activity	Bombyx mori	Putative cuticle protein	NA	NA
LOC101740158	Pass:	A0A6J2JS26	95.048	0	GO:0003723	F	RNA binding	Bombyx mandarina	DRBM domain-containing protein	NA	NA
LOC101743807	Pass:	A0A2A4JJQ5	91.697	0	GO:0005737	C	cytoplasm	Heliothis virescens	T-complex protein 1 subunit epsilon	NA	NA
LOC733042	Fail:	A0A6J1MV80	85.714	4.919999999999999e-106	GO:0016020	C	membrane	Bicyclus anynana	Ergosterol biosynthetic protein 28	NA	NA
LOC101744693	Pass:	A0A8R2DJ56	99.9	0	GO:0005085	F	guanyl-nucleotide exchange factor activity	Bombyx mori	SEC7 domain-containing protein	NA	NA
LOC101736964	Pass:	A0A821NMW4	73.806	0	GO:0005615	C	extracellular space	Pieris macdunnoughi	CD109 antigen	NA	NA
LOC101737574	Pass:	A0A2W1BM13	71.615	0	GO:0004152	F	dihydroorotate dehydrogenase activity	Helicoverpa armigera	Dihydroorotate dehydrogenase (quinone), mitochondrial	NA	NA
LOC101739197	Pass:	A0A6J2JBV1	99.802	0	GO:0006813	P	potassium ion transport	Bombyx mandarina	G protein-activated inward rectifier potassium channel 3-like isoform X2	NA	NA
LOC101739946	Pass:	A0A8R2R4H6	100	0	GO:0006508	P	proteolysis	Bombyx mori	Metalloendopeptidase	NA	NA
LOC101740509	Pass:	A0A2H1VHZ5	72.194	0	GO:0016567	P	protein ubiquitination	Spodoptera frugiperda	Anaphase-promoting complex subunit 5	NA	NA
LOC110385420	Pass:	A0A8B8HH53	79.89	0	GO:0030286	C	dynein complex	Vanessa tameamea	AAA+ ATPase domain-containing protein	NA	NA
LOC101742469	Pass:	A0A8B8ITS4	90.361	0	GO:0048013	P	ephrin receptor signaling pathway	Vanessa tameamea	receptor protein-tyrosine kinase	NA	NA
LOC101745445	Pass:	A0A8S0Z1C4	86.566	0	GO:0051959	F	dynein light intermediate chain binding	Arctia plantaginis	AAA+ ATPase domain-containing protein	NA	NA
LOC101743378	Pass:	A0A8R1WRF2	100	0	GO:0006298	P	mismatch repair	Bombyx mori	DNA mismatch repair proteins mutS family domain-containing protein	NA	NA
LOC101740750	Pass:	A0A3S2NR26	77.583	0	GO:0005524	F	ATP binding	Chilo suppressalis	ABC transporter domain-containing protein	NA	NA
LOC101746167	Pass:	A0A8S0Z9S2	71.292	0	GO:0005576	C	extracellular region	Arctia plantaginis	Dystroglycan 1	NA	NA
LOC101745564	Pass:	A0A8R2GAG9	99.454	0	GO:0016020	C	membrane	Bombyx mori	GB1/RHD3-type G domain-containing protein	NA	NA
LOC101736450	Pass:	A0A8R2QYU6	100	0	GO:0016787	F	hydrolase activity	Bombyx mori	Apyrase	NA	NA
LOC101746382	Pass:	A0A8S0Z625	80.586	0	GO:0006614	P	SRP-dependent cotranslational protein targeting to membrane	Arctia plantaginis	Signal recognition particle subunit SRP72	NA	NA
LOC101735759	Fail:	A0A0N1IDJ4	91.093	4.719999999999999e-171	GO:0016209	F	antioxidant activity	Papilio machaon	Thioredoxin domain-containing protein	NA	NA
LOC101739040	Pass:	A0A8R2R1I0	99.802	0	GO:0006468	P	protein phosphorylation	Bombyx mori	Protein kinase domain-containing protein	NA	NA
LOC101744938	Pass:	A0A2W1BNU3	86.77	0	GO:0015882	P	L-ascorbic acid transmembrane transport	Helicoverpa armigera	Uncharacterized protein	NA	NA
LOC101736982	Fail:	S4PL96	47.382	3.5799999999999995e-118	GO:0016740	F	transferase activity	Pararge aegeria	U6 snRNA-specific terminal uridylyltransferase 1	NA	NA
LOC101738491	Pass:	A0A8S3WPC9	75.912	0	GO:0005886	C	plasma membrane	Parnassius apollo	Cadherin domain-containing protein	NA	NA
LOC101741635	Pass:	A0A8R2HNQ3	98.003	0	GO:0007399	P	nervous system development	Bombyx mori	Neuropathy target esterase sws	NA	NA
LOC101742449	Pass:	A0A6J2KGK1	96.879	0	GO:0016620	F	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	Bombyx mandarina	Glyceraldehyde 3-phosphate dehydrogenase NAD(P) binding domain-containing protein	NA	NA
LOC119629758	Fail:	A0A6J2JET3	99.476	8.569999999999999e-132	GO:0008061	F	chitin binding	Bombyx mandarina	Chitin-binding type-2 domain-containing protein	NA	NA
Pabn1	Fail:	A0A2A4KAX8	90.667	4.17e-137	GO:0003723	F	RNA binding	Heliothis virescens	RRM domain-containing protein	NA	NA
LOC101738076	Pass:	A0A2W1BJJ1	76.937	0	GO:0000049	F	tRNA binding	Helicoverpa armigera	tRNA (guanine(26)-N(2))-dimethyltransferase	NA	NA
nAChRa6	Pass:	A8CGL6	96.512	0	GO:0005886	C	plasma membrane	Bombyx mori	Nicotinic acetylcholine receptor subunit alpha 6 mRNA transcript variant 2	NA	NA
ace1	Pass:	A0A8S1AK69	87.626	0	GO:0045202	C	synapse	Arctia plantaginis	Acetylcholinesterase	NA	NA
LOC101746043	Pass:	A0A194RKL9	75.45	0	GO:0055085	P	transmembrane transport	Papilio machaon	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101736960	Pass:	A0A8R2C9S2	99.22	0	GO:0005856	C	cytoskeleton	Bombyx mori	Moesin/ezrin/radixin homolog 1	NA	NA
LOC101746970	Pass:	A0A8R2M2M4	96.953	0	GO:0005524	F	ATP binding	Bombyx mori	Protein kinase domain-containing protein	NA	NA
LOC101738767	Pass:	A0A8S1A386	89.24	0	GO:0003677	F	DNA binding	Arctia plantaginis	Uncharacterized protein	NA	NA
PAH	Pass:	A0A6J2JBS4	100	0	GO:0006559	P	L-phenylalanine catabolic process	Bombyx mandarina	phenylalanine 4-monooxygenase	NA	NA
LOC101735559	Pass:	A0A6J1MYQ5	83.2	0	GO:0016020	C	membrane	Bicyclus anynana	TLC domain-containing protein	NA	NA
LOC101738034	Pass:	A0A8R2G7C4	97.441	0	GO:0005634	C	nucleus	Bombyx mori	Nuclear respiratory factor 1 NLS/DNA-binding dimerisation domain-containing protein	NA	NA
AP1S	Fail:	A0A8R2LVD0	100	1.1699999999999998e-107	GO:0006886	P	intracellular protein transport	Bombyx mori	AP complex subunit sigma	NA	NA
LOC101745297	Pass:	A0A6J3C4H1	86.939	0	GO:0006813	P	potassium ion transport	Galleria mellonella	Potassium channel subfamily T member 2 isoform X10	NA	NA
Cdc25	Pass:	A0A7I1A5M1	58.357	0	GO:0004725	F	protein tyrosine phosphatase activity	Danaus plexippus plexippus	protein-tyrosine-phosphatase	NA	NA
LOC692995	Pass:	A0A6J2JVQ3	99.456	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	Asparagine synthetase [glutamine-hydrolyzing]	NA	NA
MCAK	Pass:	A0A8R2HKY7	100	0	GO:0007018	P	microtubule-based movement	Bombyx mori	Kinesin-like protein	NA	NA
LOC101738744	Fail:	A0A8R2LZK4	100	2.3399999999999996e-158	GO:0060271	P	cilium assembly	Bombyx mori	Pericentriolar material 1 protein C-terminal domain-containing protein	NA	NA
LOC101743686	Pass:	A0A8R2GAA3	100	0	GO:0007155	P	cell adhesion	Bombyx mori	Fasciclin-2	NA	NA
LOC101735614	Pass:	A0A8R2M0P6	97.636	0	GO:0007399	P	nervous system development	Bombyx mori	Down syndrome cell adhesion molecule-like protein Dscam2	NA	NA
nAChRa6	Pass:	A0A7I1A4L2	91.86	0	GO:0005216	F	monoatomic ion channel activity	Danaus plexippus plexippus	Neuronal acetylcholine receptor subunit alpha-7 isoform X1	NA	NA
LOC101737674	Pass:	A0A8R2M360	100	0	GO:0046872	F	metal ion binding	Bombyx mori	RING-type domain-containing protein	NA	NA
LOC100127128	Pass:	Q1HQ62	100	0	GO:0046872	F	metal ion binding	Bombyx mori	Cytochrome c domain-containing protein	NA	NA
LOC101739126	Pass:	A0A8S1BSN3	68.085	0	GO:0008270	F	zinc ion binding	Arctia plantaginis	Uncharacterized protein	NA	NA
PPO2	Pass:	A8JKF6	80.231	0	GO:0016491	F	oxidoreductase activity	Heliothis virescens	Tyrosinase copper-binding domain-containing protein	NA	NA
Vgr	Pass:	A0A8R2M6F4	98.343	0	GO:0005509	F	calcium ion binding	Bombyx mori	EGF-like domain-containing protein	NA	NA
LOC101741753	Fail:	A0A8S1A7B6	61.466	2.5099999999999993e-180	GO:0003723	F	RNA binding	Arctia plantaginis	Phosphorylated adapter RNA export protein	NA	NA
LOC101739097	Pass:	A0A8R2R4J3	98.616	0	GO:0006338	P	chromatin remodeling	Bombyx mori	Protein polybromo-1	NA	NA
LOC101736341	Pass:	A0A7I0ZRV8	66.003	0	GO:0010181	F	FMN binding	Danaus plexippus plexippus	NADPH-dependent diflavin oxidoreductase 1	NA	NA
Nav	Pass:	A0A6J2JE15	99.37	0	GO:0110165	C	cellular anatomical entity	Bombyx mandarina	Sodium channel protein	NA	NA
LOC101737358	Fail:	A0A7E5VSB0	60.145	3.509999999999999e-160	GO:0004930	F	G protein-coupled receptor activity	Trichoplusia ni	G-protein coupled receptors family 1 profile domain-containing protein	NA	NA
LOC101740714	Pass:	A0A437BUI1	86.974	0	GO:0004672	F	protein kinase activity	Chilo suppressalis	non-specific serine/threonine protein kinase	NA	NA
RpL19	Fail:	A0A4C1URF4	99.5	1.71e-142	GO:0006412	P	translation	Eumeta variegata	Ribosomal protein L19	NA	NA
LOC101743921	Pass:	A0A6J2K3Y6	99.81	0	GO:0016491	F	oxidoreductase activity	Bombyx mandarina	Cytokine-like nuclear factor N-PAC	NA	NA
LOC101743625	Fail:	A0A2W1BE10	66.084	6.229999999999999e-130	GO:0016020	C	membrane	Helicoverpa armigera	Sulfotransferase domain-containing protein	NA	NA
CPR146	Fail:	A0A482X3H6	32.355	0	GO:0048856	P	anatomical structure development	Laodelphax striatellus	High-affinity choline transporter 1	NA	NA
LOC101743161	Fail:	A0A8R2M9X3	36.429	1.3999999999999998e-121	GO:0005856	C	cytoskeleton	Bombyx mori	Ankyrin-2	NA	NA
LOC100500925	Pass:	E0X9I2	98.272	0	GO:0005886	C	plasma membrane	Bombyx mori	Ionotropic GABA-aminobutyric acid receptor RDL3-3a6b	NA	NA
LOC101737493	Pass:	A0A6J2KDY0	98.667	0	GO:0007186	P	G protein-coupled receptor signaling pathway	Bombyx mandarina	G-protein coupled receptors family 1 profile domain-containing protein	NA	NA
LOC101739826	Pass:	A0A7E5VZR6	66.203	0	GO:0004842	F	ubiquitin-protein transferase activity	Trichoplusia ni	CCR4-NOT transcription complex subunit 4	NA	NA
LOC101740141	Pass:	A0A8B8HWD2	87.19	0	GO:0003950	F	NAD+ ADP-ribosyltransferase activity	Vanessa tameamea	Poly [ADP-ribose] polymerase	NA	NA
LOC101743196	Pass:	A0A8B8I7M8	81.586	0	GO:0016592	C	mediator complex	Vanessa tameamea	Mediator of RNA polymerase II transcription subunit 1	NA	NA
LOC105842002	Pass:	A0A6J2K8Y9	99.265	0	GO:0007608	P	sensory perception of smell	Bombyx mandarina	Odorant receptor	NA	NA
LOC101746970	Pass:	A0A8R2M089	96.861	0	GO:0000166	F	nucleotide binding	Bombyx mori	Protein kinase domain-containing protein	NA	NA
LOC101744275	Pass:	A0A7E5WLY8	63.254	0	GO:0003723	F	RNA binding	Trichoplusia ni	RRM domain-containing protein	NA	NA
LOC101743090	Pass:	A0A2W1BTK1	94.161	0	GO:0045211	C	postsynaptic membrane	Helicoverpa armigera	Glutamate [NMDA] receptor subunit 1	NA	NA
LOC101747001	Pass:	A0A8R2C8K0	100	0	GO:0007165	P	signal transduction	Bombyx mori	Ral guanine nucleotide dissociation stimulator	NA	NA
LOC101741192	Pass:	A0A8B8I302	72.211	0	GO:0035082	P	axoneme assembly	Vanessa tameamea	Coiled-coil domain-containing protein 40	NA	NA
LOC101737708	Pass:	A0A7E5X116	80.215	0	GO:0016192	P	vesicle-mediated transport	Trichoplusia ni	Vacuolar protein sorting-associated protein 41 homolog	NA	NA
